condition,seed,Q_E,Q_P,Q_C,Q_F,Q_S,ULVI,viable,acc_clean,eps,mean_len,fano_L_min,C_eta,frontier_slack,mean_abs_w,sparsity_cutoff,n_params,zipf_alpha_ols,zipf_alpha_mle,zipf_ks,zipf_n_types,heaps_beta,abbrev_rho_spearman,abbrev_tau_kendall,mean_length,signal_entropy_bits
uvif_full,0,0.584326763429428,0.5509150729378895,0.6836134046316147,0.4760916573660714,0.5872280377101502,0.5725450595527618,False,0.3922119140625,0.6077880859375,4.6673583984375,0.5211791487207711,2.250268914204958,4.146179249716729,0.06327731907367706,0.3935505747795105,26576,2.3583837929056033,0.982051431955065,0.15263134989264104,54,0.25772495383912125,-0.19689806277006217,-0.15309333137845074,4.6673583984375,4.427216773929443
uvif_full,1,0.5664933599757779,0.5098277282676763,0.6247531101107597,0.5023193359375,0.56893979261287,0.5526810598032094,False,0.411865234375,0.588134765625,4.4837646484375,0.5859972780489086,2.250268914204958,3.8977673703885913,0.07504937797784805,0.3026791214942932,26576,1.6552483149475101,1.3257695517869093,0.06297807452544835,242,0.5311107162947624,0.026043118311690597,0.023822694624172407,4.4837646484375,4.616175577385642
uvif_full,2,0.5235984002746912,0.4646153579448861,0.5956000313162804,0.4046456473214286,0.5255518576204229,0.49859441171375146,False,0.3587646484375,0.6412353515625,5.16748046875,0.41326756251094293,2.250268914204958,4.754212906239057,0.08087999373674393,0.22384858131408691,26576,2.4270939428781393,1.0853691554130405,0.1262510687715559,46,0.25648890759020576,-0.04234076204740869,-0.01537428702110241,5.16748046875,4.06983030868931
uvif_full,3,0.5800140718386517,0.5413074459979956,0.6966953203082085,0.4634835379464286,0.5802351275603894,0.5674305983228614,False,0.3427734375,0.6572265625,4.755615234375,0.3627694121997361,2.250268914204958,4.392845822175264,0.06066093593835831,0.4402468204498291,26576,2.3867793560138875,0.999694872423729,0.12233992490548662,45,0.22307150001192486,-0.19209361365012426,-0.14950900031928038,4.755615234375,4.288277310711456
uvif_full,4,0.49124463198317897,0.4575608115647323,0.640096053481102,0.4848458426339286,0.4959366400349839,0.5102750477951841,False,0.2930908203125,0.7069091796875,4.6060791015625,0.210604102612227,2.250268914204958,4.395474998950273,0.0719807893037796,0.3282284736633301,26576,2.452413709517221,1.2688819743906818,0.12637983198171338,73,0.33501945939108324,-0.46477342235033836,-0.3886761774405795,4.6060791015625,3.920253259031389
generic_sum,0,0.31618328321684847,0.30552681793337494,0.9338307650759816,0.7275565011160714,0.31411556590204853,0.4600897104099185,False,0.160400390625,0.839599609375,2.9071044921875,0.0,2.250268914204958,2.9071044921875,0.013233846984803677,0.9260234832763672,26576,1.047239246252948,1.103257438475887,0.016286658459079173,6,0.020399268678556275,-0.028988551782622423,0.0,2.9071044921875,2.2121718166604483
generic_sum,1,0.2534369486184231,0.24051707391915073,0.9081308208405972,0.8710239955357143,0.25277320191001007,0.4141761449053666,False,0.1368408203125,0.8631591796875,1.90283203125,0.0,2.250268914204958,1.90283203125,0.01837383583188057,0.7715984284877777,26576,,,,4,0.015468687869370354,,,1.90283203125,1.8051775528699128
generic_sum,2,0.3439526288909295,0.33199629911788225,0.8957883939146996,0.7329450334821428,0.3493538897042499,0.4826528325463189,False,0.19921875,0.80078125,2.869384765625,0.0,2.250268914204958,2.869384765625,0.02084232121706009,0.8338350355625153,26576,2.515836224045382,1.0009100776371649,0.09172284895787453,8,0.07127404222016294,0.07319250547113999,0.11338934190276817,2.869384765625,2.4645255206427117
generic_sum,3,0.3040610049279982,0.28917998605064954,0.9145574495196342,0.8202776227678572,0.30513507313662575,0.45788729030081854,False,0.2054443359375,0.7945556640625,2.258056640625,0.0,2.250268914204958,2.258056640625,0.01708851009607315,0.8817730247974396,26576,0.8432324176287929,0.7955356579782082,0.018324308383651955,5,9.849898946808977e-17,-0.6668859288553501,-0.5270462766947298,2.258056640625,2.154114243861837
generic_sum,4,0.0,0.0,0.9925973394419998,1.0,0.0,0.0,False,0.0927734375,0.9072265625,1.0,0.0,2.250268914204958,1.0,0.0014805321116000414,0.992173389531672,26576,,,,1,0.0,,,1.0,-0.0
least_effort,0,0.49282261308031966,0.43218614657593707,0.19524192810058594,0.6498325892857143,0.4961952335306571,0.42216062728375275,False,0.362060546875,0.637939453125,3.451171875,0.4237646349624432,2.250268914204958,3.0274072400375567,0.1609516143798828,0.004214346408843994,26576,1.3220088914812549,1.3986624294972114,0.0204067527960885,442,0.6402988944499142,-0.3302968855280845,-0.3021565568202067,3.451171875,4.532613804318493
least_effort,1,0.015239379221781625,0.010207593916238548,0.24861781299114227,0.9999825613839286,0.01697268792057987,0.05800069411610688,False,0.1085205078125,0.8914794921875,1.0001220703125,0.0,2.250268914204958,1.0001220703125,0.15027643740177155,0.003574669361114502,26576,,,,4,0.13249423140502667,,,1.0001220703125,0.1272718113749287
least_effort,2,0.3934333839476954,0.3457679824972918,0.19929973781108856,0.6929059709821428,0.3956148148106412,0.3751646519509852,False,0.2353515625,0.7646484375,3.149658203125,0.043454380404789945,2.250268914204958,3.10620382272021,0.1601400524377823,0.004552960395812988,26576,2.5219583954924145,1.5309479771239078,0.16466013523791956,57,0.3344037511798804,-0.402126752536028,-0.32678305126564744,3.149658203125,3.0399422678763406
least_effort,3,0.5178343514517042,0.45016611456683836,0.23584826290607452,0.7424839564732143,0.5026097622093836,0.45964534548337765,False,0.3822021484375,0.6177978515625,2.8026123046875,0.4885644027543209,2.250268914204958,2.314047901933179,0.1528303474187851,0.004327237606048584,26576,1.731486806266088,1.3269058744802955,0.06684437640240076,235,0.48629632155844577,-0.4060183597420776,-0.34776243595058753,2.8026123046875,4.566748353327075
