condition,seed,certified,viable_on_cover,viable_on_heldout,false_certificate,certificate_status,Lz_E,Lz_P,Lz_C,Lz_F
uvif_full,0,False,False,False,False,empirical_candidate,0.007013458609882452,0.265385345507001,0.0,0.00732421875
uvif_full,1,False,False,False,False,empirical_candidate,0.01530903826710506,0.504831641076634,0.0,0.0015694754464279374
uvif_full,2,False,False,False,False,empirical_candidate,0.018740846464072595,0.5129107985510706,0.0,0.0048828125
uvif_full,3,False,False,False,False,empirical_candidate,0.022837791950321984,0.32021716459209926,0.0,0.004010881696427937
uvif_full,4,False,False,False,False,empirical_candidate,0.04413503609437764,0.29495741456102065,0.0,0.012381417410713972
generic_sum,0,False,False,False,False,empirical_candidate,0.0011853343694484544,0.09758277711496677,0.0,0.00017438616071396853
generic_sum,1,False,False,False,False,empirical_candidate,0.004934658852490115,0.12307821590796492,0.0,0.0006975446428569844
generic_sum,2,False,False,False,False,empirical_candidate,0.00199733310485839,0.10775238178775737,0.0,0.0001743861607139685
generic_sum,3,False,False,False,False,empirical_candidate,0.01724963296159454,0.17811779791677085,0.0,0.003138950892855874
generic_sum,4,False,False,False,False,empirical_candidate,0.0,0.0,0.0,0.0
least_effort,0,False,False,False,False,empirical_candidate,0.005991533655236858,0.5052514200227359,0.0,0.0020926339285709528
least_effort,1,False,False,False,False,empirical_candidate,0.009190257620262031,0.0642772628253905,0.0,0.0
least_effort,2,False,False,False,False,empirical_candidate,0.0206918692705077,0.39902479494018483,0.0,0.00871930803571397
least_effort,3,False,False,False,False,empirical_candidate,0.031000088636381484,0.6120835331659041,0.0,0.009068080357144128
least_effort,4,False,False,False,False,empirical_candidate,0.03330808364764959,0.4621433556288662,0.0,0.01761300223214191
task_only,0,False,False,False,False,empirical_candidate,0.007703686833320235,1.2273490714728996,0.0,0.004010881696427938
task_only,1,False,False,False,False,empirical_candidate,0.016883044236721823,1.3303139773704846,0.0,0.001220703125
task_only,2,False,False,False,False,empirical_candidate,0.018092811589910388,1.1265506585505514,0.0,0.0026157924107139685
task_only,3,False,False,False,False,empirical_candidate,0.031974863036916545,1.9542752733312563,0.0,0.0038364955357150796
task_only,4,False,False,False,False,empirical_candidate,0.02944420918568392,1.601266841627067,0.0,0.00505719866071508
random,0,False,False,False,False,empirical_candidate,0.0008455275145494246,0.002065293641959898,0.0,0.045514787946427944
random,1,False,False,False,False,empirical_candidate,0.002200334122370177,0.0018737512232893919,0.0,0.04237583705357206
random,2,False,False,False,False,empirical_candidate,0.0005930379145231469,0.001191283899861324,0.0,0.11736188616071397
random,3,False,False,False,False,empirical_candidate,0.0031717329698723105,0.0031995811143825364,0.0,0.14439174107142907
random,4,False,False,False,False,empirical_candidate,0.0015313517159431498,0.0014075903176688992,0.0,0.075160435267857
